Product_ID,Sale_Date,Sales_Rep,City,Sales_Amount,Product_Category,Customer_Type,Discount,Payment_Method,Sales_Channel
1675,2024-09-27,Ben,Cardiff,854.3,Clothing,Returning,1,Card,Online
1125,2023-09-25,Rosie,Glasgow,5255.3,Electronics,New,2,Card,Online
1099,2024-09-03,Mark,Swansea,3081.3,Furniture,Returning,18,Card,In-person
1882,2025-01-27,Rosie,Edinburgh,8987.5,Food,Returning,1,Card,In-person
1374,2023-06-29,Lillie,Cardiff,622.1,Clothing,New,20,Card,Online
1144,2023-02-03,Mark,Swansea,4814.1,Food,New,15,Card,Online
1009,2024-03-31,Jack,Swansea,4619.3,Clothing,New,3,Card,In-person
1958,2025-08-10,Kate,Belfast,306.5,Clothing,New,21,Card,Online
1762,2025-04-19,David,Glasgow,3939.2,Food,Returning,12,Card,Online
1697,2025-09-04,Lillie,Swansea,3325.3,Clothing,Returning,20,Cash,In-person
1263,2025-02-16,David,Glasgow,8173.6,Electronics,New,6,Cash,In-person
1874,2025-06-16,Lillie,Glasgow,1834.3,Food,New,2,Card,Online
1332,2023-08-14,David,Belfast,5760.6,Furniture,New,7,Cash,Online
1509,2025-03-07,Greg,Liverpool,5719.9,Food,Returning,9,Card,In-person
1653,2024-04-09,Ben,Liverpool,8042.7,Furniture,Returning,21,Cash,In-person
1928,2025-01-06,David,Swansea,665.9,Food,New,17,Card,In-person
1236,2025-08-06,Rosie,Cardiff,9080.0,Clothing,Returning,25,Card,Online
1787,2025-05-06,Kate,Swansea,9907.0,Furniture,Returning,20,Card,In-person
1754,2023-11-05,Greg,Glasgow,1792.8,Food,Returning,1,Card,Online
1218,2024-09-18,Amy,Liverpool,5981.8,Food,New,24,Cash,In-person
1366,2023-10-24,Ben,Glasgow,1106.1,Food,New,25,Cash,In-person
1819,2023-11-15,Rosie,Glasgow,5469.5,Electronics,Returning,1,Cash,In-person
1611,2025-06-24,Kate,Cardiff,2392.7,Electronics,Returning,23,Card,In-person
1033,2025-03-10,Lillie,London,5666.7,Food,Returning,20,Card,Online
1938,2024-04-03,Rosie,Swansea,5259.0,Food,Returning,21,Cash,In-person
1536,2024-06-07,Mark,Liverpool,5219.0,Electronics,Returning,20,Card,Online
1364,2023-10-30,David,Manchester,7535.8,Food,New,15,Card,Online
1219,2023-03-07,Lillie,Liverpool,4669.4,Clothing,Returning,21,Card,In-person
1739,2024-01-21,David,Liverpool,9136.0,Food,New,22,Card,Online
1015,2024-12-17,David,London,8765.8,Electronics,New,5,Card,Online
1845,2025-07-03,Jack,London,9485.5,Furniture,New,18,Card,In-person
1429,2023-07-21,David,Belfast,564.5,Clothing,New,3,Card,Online
1329,2025-02-06,Greg,Swansea,3940.2,Electronics,New,1,Card,In-person
1885,2024-09-11,Jack,Belfast,7367.1,Electronics,Returning,20,Card,In-person
1005,2023-12-27,Rosie,Glasgow,1966.8,Food,New,16,Card,Online
1820,2025-05-29,Lillie,Cardiff,1006.7,Furniture,New,20,Cash,Online
1269,2025-09-09,Rosie,Belfast,182.9,Furniture,Returning,14,Card,Online
1706,2023-05-04,Lillie,Manchester,4033.9,Electronics,Returning,16,Cash,Online
1486,2024-11-12,Rosie,Belfast,267.9,Food,New,3,Cash,Online
1355,2024-07-29,Rosie,Glasgow,1722.3,Food,New,13,Cash,In-person
1769,2025-09-12,David,Glasgow,4519.7,Furniture,Returning,18,Cash,Online
1887,2024-05-24,Lillie,Glasgow,2038.0,Electronics,New,8,Cash,In-person
1658,2023-09-17,Lillie,Swansea,2288.3,Furniture,New,18,Card,In-person
1618,2024-12-31,Rosie,Glasgow,7414.3,Food,New,19,Cash,In-person
1344,2024-12-30,Amy,Liverpool,7701.1,Clothing,New,14,Cash,In-person
1174,2023-01-09,Ben,London,8958.6,Electronics,Returning,9,Cash,Online
1425,2024-08-25,David,Cardiff,2067.8,Furniture,Returning,19,Card,In-person
1717,2024-04-20,Jack,Manchester,8788.5,Furniture,New,4,Cash,In-person
1228,2025-07-04,Mark,Liverpool,4651.8,Furniture,New,17,Cash,In-person
1003,2024-07-22,Lillie,Liverpool,5095.6,Food,New,0,Card,In-person
1763,2025-03-05,Jack,Swansea,4610.7,Furniture,New,19,Cash,Online
1207,2023-11-07,Jack,Cardiff,2000.8,Food,Returning,20,Card,Online
1560,2025-11-27,Greg,Manchester,677.5,Electronics,New,18,Card,Online
1925,2024-10-08,Greg,Swansea,6166.4,Furniture,Returning,1,Cash,Online
1277,2025-07-12,Lillie,Glasgow,8760.6,Furniture,Returning,22,Card,Online
1533,2025-08-22,Lillie,Edinburgh,9274.8,Clothing,Returning,16,Card,In-person
1752,2025-09-16,Kate,Belfast,3772.2,Clothing,Returning,13,Cash,Online
1047,2025-12-30,David,Manchester,4747.5,Electronics,New,22,Card,Online
1628,2024-09-07,Kate,Liverpool,3172.5,Clothing,Returning,8,Card,Online
1569,2025-10-19,David,Manchester,9922.8,Electronics,Returning,21,Card,Online
1631,2025-03-09,Greg,Edinburgh,5634.7,Clothing,Returning,19,Card,In-person
1598,2025-09-16,Lillie,Swansea,431.9,Food,New,18,Cash,Online
1427,2024-12-31,Ben,Belfast,2076.0,Clothing,New,24,Card,In-person
1533,2023-01-16,Rosie,Liverpool,9148.4,Electronics,Returning,18,Card,Online
1096,2024-02-19,Lillie,Swansea,520.6,Clothing,New,11,Card,Online
1791,2023-02-12,David,Liverpool,1958.6,Furniture,Returning,25,Card,Online
1909,2023-01-29,Greg,London,9359.9,Food,Returning,5,Card,Online
1055,2024-09-13,Amy,Swansea,6031.9,Clothing,Returning,20,Card,In-person
1071,2024-05-01,Rosie,Manchester,6979.4,Furniture,Returning,3,Cash,Online
1591,2023-05-24,Amy,Edinburgh,6210.7,Electronics,Returning,10,Cash,In-person
1526,2024-11-05,Ben,Swansea,7658.9,Electronics,Returning,18,Card,Online
1409,2025-05-15,Mark,Glasgow,8155.3,Electronics,Returning,17,Card,In-person
1119,2023-07-24,Jack,Edinburgh,7435.6,Electronics,New,4,Cash,Online
1542,2024-01-16,Kate,London,1271.2,Furniture,Returning,4,Card,Online
1922,2024-04-01,Lillie,Glasgow,2182.8,Food,Returning,0,Cash,Online
1499,2023-02-28,Amy,Liverpool,1617.8,Food,Returning,1,Cash,Online
1581,2023-10-02,Jack,London,6276.4,Clothing,Returning,24,Cash,Online
1476,2023-06-29,Greg,Cardiff,3470.8,Electronics,Returning,16,Cash,In-person
1527,2024-05-13,Ben,Edinburgh,8532.3,Clothing,Returning,5,Card,Online
