Region,Country,Year,Dentists_Per_10000
Africa,"Central African Republic",2023,0.01
Africa,Chad,2023,0.01
Africa,Benin,2023,0.05
"Western Pacific","Papua New Guinea",2023,0.05
Africa,"Burkina Faso",2023,0.06
Africa,Guinea-Bissau,2023,0.1
Africa,Mozambique,2023,0.11
Africa,Senegal,2023,0.11
Africa,"Cote d'Ivoire",2023,0.14
Africa,Zambia,2023,0.14
Africa,"Cabo Verde",2023,0.15
Africa,"South Africa",2023,0.19
Africa,Eswatini,2023,0.28
Africa,Zimbabwe,2023,0.3
Africa,Botswana,2023,0.36
"Western Pacific","Solomon Islands",2023,0.51
Europe,Montenegro,2023,0.58
"South-East Asia",Bangladesh,2023,0.76
"South-East Asia","Sri Lanka",2023,0.96
"Western Pacific",Indonesia,2023,1.03
Europe,Turkmenistan,2023,1.24
Europe,Tajikistan,2023,1.5
Europe,Kyrgyzstan,2023,1.56
Americas,"El Salvador",2023,1.57
"South-East Asia",Nepal,2023,1.64
Europe,Poland,2023,10.73
Americas,Argentina,2023,10.86
Europe,Belgium,2023,11.92
Europe,Andorra,2023,12.11
Americas,Chile,2023,16.77
Europe,Lithuania,2023,16.84
Europe,Kazakhstan,2023,2.13
Americas,Peru,2023,2.15
Americas,Guatemala,2023,2.68
Americas,"Dominican Republic",2023,2.69
"Western Pacific",Palau,2023,3.96
"Western Pacific",Malaysia,2023,4.06
Europe,Ireland,2023,4.75
Europe,"United Kingdom of Great Britain and Northern Ireland",2023,4.93
Europe,"Republic of Moldova",2023,4.98
"Eastern Mediterranean","Iran (Islamic Republic of)",2023,5.26
Europe,Belarus,2023,6.09
Europe,Austria,2023,6.19
Americas,Honduras,2023,7.1
"Eastern Mediterranean",Qatar,2023,7.39
Europe,"San Marino",2023,7.42
Americas,Brazil,2023,7.45
Europe,Georgia,2023,7.74
"Eastern Mediterranean","Saudi Arabia",2023,7.81
Europe,Iceland,2023,7.84
Americas,Colombia,2023,8.68
Europe,Norway,2023,8.79
"Eastern Mediterranean","United Arab Emirates",2023,8.85
Europe,Israel,2023,8.97
Africa,Burundi,2022,0.01
Africa,"Central African Republic",2022,0.01
