,0
StratificationCategoryID3,309215
Response,309215
ResponseID,309215
StratificationCategory2,309215
StratificationID2,309215
StratificationCategoryID2,309215
Stratification3,309215
StratificationCategory3,309215
Stratification2,309215
StratificationID3,309215
DataValueFootnoteSymbol,207499
DataValueFootnote,207499
LowConfidenceLimit,120330
HighConfidenceLimit,120325
DataValueAlt,100019
DataValue,100019
Geolocation,5763
YearStart,0
YearEnd,0
Stratification1,0
DataSource,0
LocationDesc,0
Topic,0
Question,0
DataValueUnit,0
DataValueType,0
LocationAbbr,0
StratificationCategory1,0
LocationID,0
TopicID,0
QuestionID,0
StratificationID1,0
DataValueTypeID,0
StratificationCategoryID1,0
